,cardId,cardName,annualfee,pervSales,Benefits,Detail_summ_name,Details_summary
0,0,하나 트래블로그 SKYPASS 신용카드,"국내 4만8천원, 해외 4만8천원, 가족겸용 없음",조건없음,대한항공 마일리지 적립 혜택해외 이용수수료 면제,"['항공마일리지', '언제나할인']","['대한항공 마일리지 적립 서비스', '외화 하나머니 결제 시']"
1,1,삼성카드 taptap O,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['연회비지원', '포인트/캐시백', '카페/베이커리', '쇼핑', '통신', '대중교통', '영화', '편의점']","['행사 응모필수!\n온라인신규회원 연회비 100% 캐시백\n(삼성개인신용카드 신규발급 시 제공)', '월 최대 3만원, 연간 36만원 할인\n쇼핑 1% 빅포인트 적립', '커피 연 최대 12만원 할인\n스타벅스 50% 또는 카페 30%할인', '쿠팡·11번가 등 연최대 6만원할인\n쇼핑 7% 할인 또는 1% 적립\n해외 1.3% 빅포인트 적립', '통신요금 10% 결제일할인', '버스, 지하철, 택시요금 10% 할인', '영화 연 최대 6만원 할인\nCGV·롯데시네마 5,000원 할인', '편의점 7%할인 또는 1%적립']"
2,2,DA카드의정석Ⅱ,"국내 1만2천원, 해외 1만2천원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['연회비지원', '언제나할인', '쇼핑', '레저', '프리미엄', '카페/베이커리', '편의점', '대형마트', '의료', '뷰티', '대중교통', '외식']","['온라인 신규 연회비 100% 캐시백', '국내가맹점 0.8%~1.3% 청구할인\n해외결제도 0.8%~1.3% 청구할인\n전월실적, 횟수 제한없이 DA할인', '면세점, 해외이용금액 1.3%청구할인\n전월실적, 횟수 제한없이 DA할인', '항공사 1.3% 청구할인\n전월실적, 횟수 제한없이 DA할인', '국내 공항 라운지 무료이용 서비스', '제과점 1.3% 청구할인\n전월실적, 횟수 제한없이 DA할인', '편의점 1.3% 청구할인\n전월실적, 횟수 제한없이 DA할인', '수퍼마켓 1.3% 청구할인\n전월실적, 횟수 제한없이 DA할인', '병원,한의원,약국 1.3% 청구할인\n전월실적, 횟수 제한없이 DA할인', '미용실, 화장품 1.3% 청구할인\n전월실적, 횟수 제한없이 DA할인', '대중교통 1.3% 청구할인\n전월실적, 횟수 제한없이 DA할인', '음식점 1.3% 청구할인\n전월실적, 횟수 제한없이 DA할인']"
3,3,삼성카드 & MILEAGE PLATINUM(스카이패스),"국내 4만7천원, 해외 4만9천원",조건없음,조건없음,"['프리미엄', '쇼핑', '주유', '카페/베이커리', '편의점', '대중교통', '간편결제', '대형마트', '외식', '통신', '교육', '의료', '렌탈', '레저', '육아', '문화', '반려동물', '뷰티', '영화', '항공마일리지']","['면세점·호텔·스파 등 아멕스 서비스\n인천공항 마티나라운지, 발렛파킹 무료', '신세계·롯데·현대·갤러리아 등\n1천원당 스카이패스 2마일리지 적립', 'S-OIL·GS칼텍스·SK에너지 등\n1천원당 스카이패스 2마일리지 적립', '스타벅스·커피빈·카페베네·할리스 등\n1천원당 스카이패스 2마일리지 적립', 'CU·세븐일레븐·GS25·미니스톱 등\n1천원당 스카이패스 2마일리지 적립', '택시 천원당 스카이패스 2마일리지적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립', '스카이패스 1천원당 1마일리지 적립\n특별적립처 1천원당 2마일리지 적립']"
4,4,현대카드ZERO Edition3(할인형),"국내 1만5천원, 해외 1만5천원, 가족 5천원",조건없음,조건없음,"['연회비지원', '언제나할인', '대중교통', '간편결제', '편의점', '통신', '카페/베이커리', '대형마트', '주유', '외식', '쇼핑', '영화', '뷰티', '레저', '문화', '렌탈', '오토', '교육', '육아', '의료', '반려동물', '금융', '하이패스']","['신규회원 Welcome 이벤트', '국내외 가맹점 0.8% 청구 할인', '대중교통 이용금액 0.8% 청구할인', '간편결제 이용금액 0.8% 청구할인', '편의점 이용금액의 0.8% 청구할인', '통신 이용금액 0.8% 청구할인', '카페/베이커리 이용금액0.8%청구할인', '대형마트 이용금액 0.8% 청구할인', '주유소 이용금액 0.8% 청구할인', '외식업종 이용금액 0.8% 청구할인', '쇼핑 이용금액 0.8% 청구할인', '영화관 이용금액 0.8% 청구할인', '뷰티 업종 이용금액 0.8% 청구할인', '레저 이용금액 0.8% 청구할인', '도서문화 이용금액 0.8% 청구할인', '렌탈 이용금액 0.8% 청구할인', '오토 이용금액 0.8% 청구할인', '교육 이용금액 0.8% 청구할인', '육아 이용금액 0.8% 청구할인', '의료 업종 이용금액 0.8% 청구할인', '동물병원 이용금액 0.8% 청구할인', '금융 이용금액 0.8% 청구할인', '후불하이패스 발급 가능']"
5,5,신한카드 MY CAR,"국내 2만7천원, 해외 3만원",직전 1개월 합계 40만원 이상,직전 1개월 합계 40만원 이상,"['연회비지원', '주유', '오토', '하이패스', '카페/베이커리']","['온라인 신규회원 연회비 100%캐시백\n신규 회원이면 참여 가능!', '모든 주유소 리터당 80원 결제일할인\n모든 충전소 리터당 40원 결제일할인\n전기차 충전요금 30% 결제일 할인', '일시불·단기할부 0.2% 캐시백 제공\n장기할부·오토금융 매월 캐시백 제공\n자동차 정비 이용 건별 2만원 할인\n전국 주차장 월 최대 4천원 할인\n카카오T 대리운전 2천원 할인', '하이패스 월 최대 1천원 청구 할인\n전국 커피전문점 월 최대 2천원 할인', '전국 커피전문점 월 최대 2천원 할인']"
6,6,현대카드M,"국내 3만원, 해외 3만원, 가족 1만원",직전 1개월 합계 50만원 이상,직전 1개월 합계 50만원 이상,"['연회비지원', '포인트/캐시백', '쇼핑', '외식', '편의점', '통신', '카페/베이커리', '대형마트', '주유', '대중교통', '간편결제', '영화', '뷰티', '레저', '문화', '렌탈', '교육', '육아', '의료', '반려동물']","['신규회원 Welcome 이벤트', '국내외 가맹점 1.5% M포인트 적립\n해외 가맹점 5% M포인트 적립\nM 긴급적립(선지급 포인트 서비스)', '온라인 쇼핑몰 5% M포인트 적립\n쇼핑 업종 1.5% M포인트 적립', '일반음식점 5% M포인트 적립\n외식 업종 1.5% M포인트 적립', '편의점 1.5% M포인트 적립', '통신 업종 1.5% M포인트 적립', '카페/베이커리 1.5% M포인트 적립', '대형마트 1.5% M포인트 적립', '주유소 1.5% M포인트 적립', '대중교통 1.5% M포인트 적립', '간편결제 1.5% M포인트 적립', '영화관 1.5% M포인트 적립', '뷰티 업종 1.5% M포인트 적립', '레저 업종 1.5% M포인트 적립', '도서/공연 1.5% M포인트 적립', '렌탈 업종 1.5% M포인트 적립', '교육 업종 1.5% M포인트 적립', '육아 업종 1.5% M포인트 적립', '의료 업종 1.5% M포인트 적립', '동물병원 1.5% M포인트 적립']"
7,7,신한카드 Mr.Life,"국내 1만5천원, 해외 1만8천원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['연회비지원', '관리비', '주유', '통신', '대형마트', '쇼핑', '카페/베이커리', '외식', '편의점', '의료']","['신규 고객 연회비 100% 캐시백!\n신규 회원이면 참여 가능!', '전기·도시가스 10% 할인!', '4대 주유소 리터당 60원 할인!', 'SKT·KT·LG U+ 10% 할인!\n인터넷, 집전화, 결합상품 포함 할인', '이마트·롯데마트·홈플러스 10% 할인', '온라인쇼핑몰, 소셜커머스 10% 할인\n라이프스타일 푸드 인테이크몰 20%', '스타벅스,커피빈 등 커피전문점 10%', '외식·커피업종 이용금액 10% 할인!', '모든 편의점 10% 할인!', '병원, 약국 업종 10% 할인!']"
8,8,현대백화점카드,"국내전용 없음, 해외겸용 없음, 가족겸용 없음",조건없음,"5%할인, 무이자 할부월별 스페셜 제휴 프로모션 까지!",['쇼핑'],['3개월 무이자 할부 제공\n차량 이용시 2시간 무료주차권 제공\n5% 할인쿠폰 혜택 제공']
9,9,JADE Classic,"국내 11만5천원, 해외 12만원, 가족 2만5천원",직전 1개월 합계 50만원 이상,바우처 제공·공항 라운지 무료 이용!디지털 콘텐츠·커피·택시 50% 적립,"['바우처', '프리미엄', '포인트/캐시백']","['바우처 5가지 중 1가지를 선택 이용', '국내외 공항 라운지 무료 이용', '하나머니 적립']"
10,10,신한카드 Deep Oil,"국내 1만원, 해외 1만3천원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['연회비지원', '주유', '오토', '카페/베이커리', '대중교통', '영화', '편의점']","['신규 고객 연회비 100% 캐시백!\n신규 회원이면 참여 가능!', '주유서비스 10% 결제일 할인', '전국 모든 주차장 10% 할인\n스피드메이트 10% 할인', '스타벅스, 이디야 5% 할인', '택시 이용금액 5% 할인', '롯데시네마 영화예매 5천원 할인', 'GS25, CU 5% 할인']"
