cardId,annualfee,pervSales,performId
1,"국내 4만8천원, 해외 4만8천원, 가족겸용 없음",조건없음,1
2,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,2
3,"국내 1만2천원, 해외 1만2천원",직전 1개월 합계 30만원 이상,3
4,"국내 4만7천원, 해외 4만9천원",조건없음,4
5,"국내 1만5천원, 해외 1만5천원, 가족 5천원",조건없음,5
6,"국내 2만7천원, 해외 3만원",직전 1개월 합계 40만원 이상,6
7,"국내 3만원, 해외 3만원, 가족 1만원",직전 1개월 합계 50만원 이상,7
8,"국내 1만5천원, 해외 1만8천원",직전 1개월 합계 30만원 이상,8
9,"국내전용 없음, 해외겸용 없음, 가족겸용 없음",조건없음,9
10,"국내 11만5천원, 해외 12만원, 가족 2만5천원",직전 1개월 합계 50만원 이상,10
11,"국내 1만원, 해외 1만3천원",직전 1개월 합계 30만원 이상,11
12,"국내 30만원, 해외 30만원",직전 1개월 합계 50만원 이상,12
13,"국내 2만원, 해외 2만원, 가족 1만3천원",직전 1개월 합계 50만원 이상,13
14,"국내 2만원, 해외 2만원, 가족겸용 없음",직전 1개월 합계 1백50만원 이상,14
15,"국내 5천원, 해외 1만원",직전 1개월 합계 30만원 이상,15
16,"국내 1만3천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,16
17,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 30만원 이상,17
18,"국내 2만원, 해외 2만3천원, 가족겸용 없음",직전 1개월 합계 40만원 이상,18
19,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 30만원 이상,19
20,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,20
21,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,21
22,"국내 2만원, 해외 2만원, 가족 1만3천원",조건없음,22
23,"국내 1만원, 해외 1만원, 가족겸용 없음",조건없음,23
24,"국내 2만원, 해외 2만원, 가족 1만3천원",조건없음,24
25,"국내 26만4천원, 해외 26만7천원, 가족 5만원",직전 1개월 합계 30만원 이상,25
26,"국내 1만원, 해외 1만2천원",직전 1개월 합계 30만원 이상,26
27,"국내 1만5천원, 해외 1만5천원",조건없음,27
