cardId,cardName,Detail_summ_name
1,하나 트래블로그 SKYPASS 신용카드,"['항공마일리지', '언제나할인']"
2,삼성카드 taptap O,"['연회비지원', '포인트/캐시백', '카페/베이커리', '쇼핑', '통신', '대중교통', '영화', '편의점']"
3,DA카드의정석Ⅱ,"['연회비지원', '언제나할인', '쇼핑', '레저', '프리미엄', '카페/베이커리', '편의점', '대형마트', '의료', '뷰티', '대중교통', '외식']"
4,삼성카드 & MILEAGE PLATINUM(스카이패스),"['프리미엄', '쇼핑', '주유', '카페/베이커리', '편의점', '대중교통', '간편결제', '대형마트', '외식', '통신', '교육', '의료', '렌탈', '레저', '육아', '문화', '반려동물', '뷰티', '영화', '항공마일리지']"
5,현대카드ZERO Edition3(할인형),"['연회비지원', '언제나할인', '대중교통', '간편결제', '편의점', '통신', '카페/베이커리', '대형마트', '주유', '외식', '쇼핑', '영화', '뷰티', '레저', '문화', '렌탈', '오토', '교육', '육아', '의료', '반려동물', '금융', '하이패스']"
6,신한카드 MY CAR,"['연회비지원', '주유', '오토', '하이패스', '카페/베이커리']"
7,현대카드M,"['연회비지원', '포인트/캐시백', '쇼핑', '외식', '편의점', '통신', '카페/베이커리', '대형마트', '주유', '대중교통', '간편결제', '영화', '뷰티', '레저', '문화', '렌탈', '교육', '육아', '의료', '반려동물']"
8,신한카드 Mr.Life,"['연회비지원', '관리비', '주유', '통신', '대형마트', '쇼핑', '카페/베이커리', '외식', '편의점', '의료']"
9,현대백화점카드,['쇼핑']
10,JADE Classic,"['바우처', '프리미엄', '포인트/캐시백']"
11,신한카드 Deep Oil,"['연회비지원', '주유', '오토', '카페/베이커리', '대중교통', '영화', '편의점']"
12,현대 아멕스 골드 카드 Edition2,"['연회비지원', '포인트/캐시백', '바우처', '프리미엄', '레저', '외식', '대중교통']"
13,LOCA 365,"['연회비지원', '관리비', '통신', '대중교통', '외식', '금융', '교육', '문화']"
14,LOCA CLASSIC (로카 클래식),"['연회비지원', '카페/베이커리', '외식', '레저', '문화', '편의점', '대형마트', '주유', '통신', '영화', '교육', '육아', '의료', '뷰티', '렌탈', '오토', '금융', '대중교통', '언제나할인', '쇼핑']"
15,KB국민 굿데이카드,"['주유', '통신', '대중교통', '외식', '의료', '교육', '카페/베이커리', '편의점', '레저']"
16,우리 K-패스,"['연회비지원', '대중교통', '통신', '관리비', '렌탈', '교육', '금융', '대형마트', '카페/베이커리', '간편결제', '레저']"
17,국민행복 삼성카드 V2,"['국민행복카드', '쇼핑', '의료', '교육', '주유', '관리비', '통신', '렌탈', '금융', '문화']"
18,신한카드 Point Plan,"['연회비지원', '관리비', '통신', '외식', '포인트/캐시백']"
19,롯데 국민행복카드,"['국민행복카드', '대중교통', '육아', '교육', '의료', '쇼핑', '대형마트', '편의점', '외식', '카페/베이커리', '뷰티', '레저', '영화', '통신']"
20,KB국민 My WE:SH 카드,"['연회비지원', '편의점', '외식', '통신', '대중교통', '문화', '카페/베이커리', '레저', '뷰티', '영화', '쇼핑', '간편결제']"
21,네이버페이 taptap,"['간편결제', '포인트/캐시백']"
22,디지로카 London,"['연회비지원', '포인트/캐시백', '렌탈', '금융', '의료', '뷰티', '레저', '문화', '영화', '편의점', '외식', '카페/베이커리', '쇼핑', '육아', '통신', '교육', '대형마트', '오토', '주유', '납부 혜택']"
23,LOCA LIKIT 1.2,"['연회비지원', '카페/베이커리', '쇼핑', '뷰티', '편의점', '주유', '외식', '영화', '통신', '교육', '육아', '레저', '문화', '의료', '간편결제', '렌탈', '대형마트', '언제나할인']"
24,디지로카 Las Vegas,"['연회비지원', '언제나할인', '렌탈', '금융', '의료', '뷰티', '레저', '문화', '영화', '편의점', '외식', '카페/베이커리', '쇼핑', '육아', '통신', '교육', '대형마트', '오토', '주유', '납부 혜택']"
25,메리어트 본보이™ 더 베스트 신한카드,"['프리미엄', '포인트/캐시백']"
